[Wed Mar 25 20:35:30 2026] R1:30, R2:10, EMER:2 -> GREEN:2
[Wed Mar 25 20:35:31 2026] R1:30, R2:10, EMER:2 -> GREEN:2
[Wed Mar 25 20:35:32 2026] R1:30, R2:10, EMER:2 -> GREEN:2
[Wed Mar 25 20:35:33 2026] R1:30, R2:10, EMER:2 -> GREEN:2
[Wed Mar 25 20:35:34 2026] R1:30, R2:10, EMER:2 -> GREEN:2
[Wed Mar 25 20:35:35 2026] R1:30, R2:10, EMER:2 -> GREEN:2
[Wed Mar 25 20:35:36 2026] R1:30, R2:10, EMER:2 -> GREEN:2
[Wed Mar 25 20:35:37 2026] R1:30, R2:10, EMER:2 -> GREEN:2
[Wed Mar 25 20:35:38 2026] R1:30, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:35:39 2026] R1:30, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:35:40 2026] R1:30, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:35:41 2026] R1:30, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:35:42 2026] R1:30, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:35:43 2026] R1:30, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:35:44 2026] R1:30, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:35:45 2026] R1:30, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:35:46 2026] R1:30, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:35:47 2026] R1:30, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:35:53 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:35:54 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:35:55 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:35:56 2026] R1:20, R2:10, EMER:2 -> GREEN:2
[Wed Mar 25 20:35:57 2026] R1:20, R2:10, EMER:2 -> GREEN:2
[Wed Mar 25 20:35:57 2026] R1:20, R2:10, EMER:2 -> GREEN:2
[Wed Mar 25 20:35:58 2026] R1:20, R2:10, EMER:2 -> GREEN:2
[Wed Mar 25 20:35:59 2026] R1:20, R2:10, EMER:2 -> GREEN:2
[Wed Mar 25 20:36:00 2026] R1:20, R2:10, EMER:2 -> GREEN:2
[Wed Mar 25 20:36:01 2026] R1:20, R2:10, EMER:2 -> GREEN:2
[Wed Mar 25 20:36:02 2026] R1:20, R2:10, EMER:2 -> GREEN:2
[Wed Mar 25 20:36:03 2026] R1:20, R2:10, EMER:2 -> GREEN:2
[Wed Mar 25 20:36:04 2026] R1:20, R2:10, EMER:2 -> GREEN:2
[Wed Mar 25 20:36:05 2026] R1:20, R2:10, EMER:2 -> GREEN:2
[Wed Mar 25 20:36:06 2026] R1:20, R2:10, EMER:2 -> GREEN:2
[Wed Mar 25 20:36:07 2026] R1:20, R2:10, EMER:2 -> GREEN:2
[Wed Mar 25 20:36:08 2026] R1:20, R2:10, EMER:2 -> GREEN:2
[Wed Mar 25 20:36:09 2026] R1:20, R2:10, EMER:2 -> GREEN:2
